Start Sample,End Sample,Payload length,Bit Rate,Modulation,Code Rate,MAC1,MAC2,MAC3
3908373,3937425,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3937493,3966597,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3966613,3995716,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3995733,4024701,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4024852,4053953,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4053972,4083064,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4083092,4112040,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4112212,4141231,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4141332,4170372,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
4170452,4184815,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
